ETC_20150317_000001	凱帕
ETC_20150317_001535	玩家的角色因為特定事由已被限制無法連線遊戲。{nl}詳情請至官網內的客服中心->服務障礙申訴頁面詢問。
ETC_20150317_001536	{ItemName} 道具不足。
ETC_20150317_001537	這個位置不能使用招式。{nl}請移動到其它位置。
ETC_20150317_001538	{Auto_1}秒後完成{Auto_2}的恢復。
ETC_20150317_001539	因為背包已滿，不會發送基本道具。
ETC_20150317_001540	ID內不能有空白。
ETC_20150317_001541	不是適合的裝備，無法使用技能。
ETC_20150317_001542	對象已脫離招式的射程距離。
ETC_20150317_001543	還不能使用。
ETC_20150317_001544	無法再創建。
ETC_20150317_001545	強化錯誤 (錯誤碼 ： {Auto_1})
ETC_20150317_001546	已為戰鬥狀態。{nl}自動退出小隊。
ETC_20150317_001547	戰鬥狀態已解除。
ETC_20150317_001548	無法進行決鬥申請。
ETC_20150317_001549	無法接受決鬥申請。
ETC_20150317_001550	有新的更新檔。{nl}請結束遊戲後重新執行{nl}並進行更新。CODE({Auto_1})
ETC_20150317_001551	不是可以裝備的職業。
ETC_20150317_001552	移動中，無法使用。
ETC_20150317_001553	已脫離視野。
ETC_20150317_001554	體力不足。
ETC_20150317_001555	需要{Auto_1} Buff。
ETC_20150317_001556	只有在非戰鬥狀態下可以使用。
ETC_20150317_001557	在目前狀態下，無法使用。
ETC_20150317_001558	{s20}{ol}{#ffffcc}{gr gradation1}必須要再靠近一點。{/}
ETC_20150317_001559	密碼長度太長。
ETC_20150317_001560	請輸入名字。
ETC_20150317_001561	{s18}{ol}{#ffffcc}連線世界。
ETC_20150317_001562	給對方{Auto_1} {Auto_2}個。
ETC_20150317_001563	已使用{Auto_1} {Auto_2}個。
ETC_20150317_001564	裝備{Auto_1}。
ETC_20150317_001565	已破壞{Auto_1} {Auto_2}個。
ETC_20150317_001566	已獲得經驗值 {Auto_1}。
ETC_20150317_001567	因為移動，招式被取消了。
ETC_20150317_001568	內力不足。
ETC_20150317_001569	沒有開始地圖。
ETC_20150317_001570	邀請失敗
ETC_20150317_001571	因為是隊長所以不能刪除角色。
ETC_20150317_001572	創建新角色
ETC_20150317_001573	必須學習可以配戴該武器的特性。
ETC_20150317_001574	已完成道具購買。
ETC_20150317_001575	道具購買失敗！該道具已賣完。
ETC_20150317_001576	道具購買失敗！目前數量不到您要的購買數量，目前數量有 {Auto_1}個。
ETC_20150317_001577	道具購買失敗！所持金額不足。
ETC_20150317_001578	道具購買失敗！販賣者取消販賣或是道具已不在目錄中。
ETC_20150317_001579	道具購買失敗！發生了未知的錯誤。
ETC_20150317_001580	太近了。
ETC_20150317_001581	{s20}{ol}{#46ffc8}耐力不足。
ETC_20150317_001582	沒有使用技能時所需的物件。
ETC_20150317_001583	在配戴雙手武器的狀態下，無法配戴輔助裝備。
ETC_20150317_001584	休息模式中無法使用返回。
ETC_20150317_001585	其他角色已拿走委託。
ETC_20150317_001586	之前遊戲沒有結束。
ETC_20150317_001587	{#FFFF00}請點擊對象道具。{/}
ETC_20150317_001588	{Auto_1}對 {Auto_2} {Auto_3} - {Auto_4} 傷害
ETC_20150317_001589	對{Auto_1} {Auto_2} - {Auto_3} 傷害
ETC_20150317_001590	沒有復活道具。
ETC_20150317_001591	{#FFFF00}請選擇對象。{/}
ETC_20150317_001592	不是正確的對象。{/}
ETC_20150317_001593	{s20}{ol}{#ffffcc}{gr gradation1}對象在射程距離之外。{/}
ETC_20150317_001594	5秒後邪惡氣息會重生。
ETC_20150317_001595	無法搭乘自己的馬車。
ETC_20150317_001596	BOSS 攻擊迴避。紅利分數 + {Auto_1}
ETC_20150317_001597	請選擇地面(版面)。
ETC_20150317_001598	選擇好迴轉角度後，請點擊。
ETC_20150317_001599	請選擇筆然後畫畫。
ETC_20150317_001600	噴槍的殘量不足。
ETC_20150317_001601	已選擇。
ETC_20150317_001602	{Name} 真的要刪除寵物嗎？
ETC_20150317_001603	已破壞配戴的{Auto_1}道具。
ETC_20150317_001604	配戴的{Auto_1}道具已變更成{Auto_2}。
ETC_20150317_001605	跳躍中不能使用。
ETC_20150317_001606	所持金額不足。
ETC_20150317_001607	在無效的座標上不能使用設置或是召喚技術。
ETC_20150317_001608	已變更。
ETC_20150317_001609	太靠近已有冰塊障壁的場所。
ETC_20150317_001610	正在學習特性。
ETC_20150317_001611	{s18}{ol}{#ffffcc}您要學習特性嗎？
ETC_20150317_001612	請輸入數量。
ETC_20150317_001613	不能交易的道具。
ETC_20150317_001614	戰鬥中，不能進行休息。
ETC_20150317_001615	對方並非連線狀態。
ETC_20150317_001616	道具購買數量有限制。
ETC_20150317_001617	名稱變更後還不到24小時。
ETC_20150317_001618	不能超過{Auto_1}Byte。
ETC_20150317_001619	角色名稱
ETC_20150317_001620	材料不足。
ETC_20150317_001621	{s18}{ol}{#ffffcc}連線中。
ETC_20150317_001622	無法丟棄的道具。
ETC_20150317_001623	{@st46}恭禧你！角色升級了。
ETC_20150317_001624	{Auto_1} 系列
ETC_20150317_001625	右手 {Auto_1}, 左手 {Auto_2} 系列
ETC_20150317_001626	或者
ETC_20150317_001627	可能裝備合成 ：
ETC_20150317_001628	恢復
ETC_20150317_001629	鎖住{@st59}欄位。{/}
ETC_20150317_001630	解開{@st59}欄位。{/}
ETC_20150317_001631	{@st59}返回(backspace){/}
ETC_20150317_001632	您要刪除嗎？{/}
ETC_20150317_001633	角色死亡時不能使用的功能。
ETC_20150317_001634	{@st59}移動{/}
ETC_20150317_001635	您要升級嗎？
ETC_20150317_001636	BOSS 怪物出現了。
ETC_20150317_001637	野外出現了BOSS 怪物。
ETC_20150317_001638	不能升級的道具。
ETC_20150317_001639	{Auto_1}名次
ETC_20150317_001640	在目前地圖上不可能。
ETC_20150317_001641	[{The}] 功能已活化
ETC_20150317_001642	[{Ability}] 發動！
ETC_20150317_001643	剩餘時間 ： {Auto_1}
ETC_20150317_001644	今日小技巧 ：
ETC_20150317_001645	裝備不能配戴在該位置。
ETC_20150317_001646	您真的要結束嗎？
ETC_20150317_001647	{s20}{ol}{#ff1100}無法購買的特性。
ETC_20150317_001648	無法裝備耐久度為 0的道具。
ETC_20150317_001649	刪除
ETC_20150317_001650	與伺服器的連線已中斷，請稍後再試。
ETC_20150317_001651	{Year}年 {Month}月 {Day}日 {Hour}時 {Min}分 {Sec}秒
ETC_20150317_001652	仔細查看
ETC_20150317_001653	在撿拾副本裝備前，不能變更裝備。
ETC_20150317_001654	{Month}月 {Day}日
ETC_20150317_001655	{Day}日
ETC_20150317_001656	{Hour}時
ETC_20150317_001657	{Min}分
ETC_20150317_001658	{Sec}秒
ETC_20150317_001659	請輸入標題。
ETC_20150317_001660	學習中
ETC_20150317_001661	在轉職前需要消耗所有技能點數。
ETC_20150317_001662	男性
ETC_20150317_001663	女性
ETC_20150317_001664	{Month}個月
ETC_20150317_001665	{Year}年
ETC_20150317_001666	分流已滿。
ETC_20150317_001667	搭乘寵物時，無法使用的技能。
ETC_20150317_001668	只有在搭乘寵物時，可以使用的技能。
ETC_20150317_001669	必須{LEN}個字以上。
ETC_20150317_001670	必須{LEN}個字以下。
ETC_20150317_001671	包含不能使用的文字。
ETC_20150317_001672	休息模式中，無法搭乘。
ETC_20150317_001673	昏迷中的寵物不能搭乘。
ETC_20150317_001674	您不是CBT玩家。
ETC_20150317_001675	被管理者踢出。
ETC_20150317_001676	{Name} ({Mapname} / {ChNo}分流)
ETC_20150317_001677	無法製作的技能。
ETC_20150317_001678	{gr gradation2}{s19}{ol}{b}{#bc952b}右側點擊 ： 販賣 / 購買按鍵{/}{/}{nl}如果一個道具想要販賣好幾個的時候，請長按右鍵。{nl}雙擊時可以全部販賣。{nl}　{nl}{b}{#bc952b}左側點擊 ： 取消 / 返還按鍵{/}{/}{nl}如果一個道具要取消好幾個的時候，請長按左側。{nl} 雙擊左鍵時可以全部販賣。
ETC_20150317_001679	強化所需要的潛力不足。
ETC_20150317_001680	不能強化的道具。
ETC_20150317_001681	無法再進行強化。
ETC_20150317_001682	只有強化潛力為0的道具可進行冶煉。
ETC_20150317_001683	強化潛力為0以下的道具，進行強化時有可能會被消滅。
ETC_20150317_001684	{s18}{ol}{#ffffcc}+{Auto_1} 以上的防具、手環、項鍊道具，強化失敗時會消耗潛力。當潛力為0時，道具會被消滅。您要進行強化嗎？
ETC_20150317_001685	新強化
ETC_20150317_001686	道具強化成功了。
ETC_20150317_001687	道具強化失敗了。
ETC_20150317_001688	若要進行道具強化放入上面的欄位
ETC_20150317_001689	強化開始
ETC_20150317_001690	取消強化
ETC_20150317_001691	寄放
ETC_20150317_001692	再強化
ETC_20150317_001693	請點擊要強化的道具。
ETC_20150317_001694	強化成功！！
ETC_20150317_001695	強化失敗！！
ETC_20150317_001696	沒有符合類型的空的鑲嵌槽。
ETC_20150317_001697	請放上要強化的道具。
ETC_20150317_001698	卡片強化
ETC_20150317_001699	寶石強化
ETC_20150317_001700	無法再裝備。
ETC_20150317_001701	因為死亡懲罰，道具被消滅了。
ETC_20150317_001702	強化
ETC_20150317_001703	{s18}{ol}{#ffffcc}+{Auto_1} 以上的武器道具，強化失敗時會消耗潛力。當潛力為0時，道具會被消滅。您要進行強化嗎？
ETC_20150317_001704	使用{Auto_1} 道具並開始製作。您要繼續嗎？
ETC_20150317_001705	{@st42)製作時
ETC_20150317_001706	移動身體，已取消道具製作。
ETC_20150317_001707	製作完成！
ETC_20150317_001708	製作道具名稱最多可以輸入 {Auto_1}個字。
ETC_20150317_001709	製作道具記錄最多可以輸入 {Auto_1}個字。
ETC_20150317_001710	木頭
ETC_20150317_001711	任務
ETC_20150317_001712	武器
ETC_20150317_001713	防具
ETC_20150317_001714	雙手劍
ETC_20150317_001715	弓箭
ETC_20150317_001716	弩弓
ETC_20150317_001717	單手劍
ETC_20150317_001718	法杖
ETC_20150317_001719	鈍器
ETC_20150317_001720	其它
ETC_20150317_001721	槍
ETC_20150317_001722	魔棒
ETC_20150317_001723	您要新增{nl}鑲嵌槽嗎？
ETC_20150317_001724	您要萃取{nl}寶石嗎？
ETC_20150317_001725	您要製作道具嗎？
ETC_20150317_001726	材料
ETC_20150317_001727	戒指
ETC_20150317_001728	選擇此合成當作鍊金對象嗎？
ETC_20150317_001729	對象道具
ETC_20150317_001730	道具合成中..
ETC_20150317_001731	道具獲得
ETC_20150317_001732	請拖曳卡片並將它放在要裝備的欄位。
ETC_20150317_001733	修理費用 ： {Price}{nl}您真的要修理嗎？
ETC_20150317_001734	未定
ETC_20150317_001735	道具剩餘的潛力不足。
ETC_20150317_001736	道具剩餘的鑲嵌槽不足。
ETC_20150317_001737	所持金額不足。
ETC_20150317_001738	1級以上
ETC_20150317_001739	所有職業
ETC_20150317_001740	戰士
ETC_20150317_001741	弓箭手
ETC_20150317_001742	牧師
ETC_20150317_001743	法師
ETC_20150317_001744	不可能的道具。
ETC_20150317_001745	不是寶石裝備的道具。
ETC_20150317_001746	請選擇鑲嵌槽。
ETC_20150317_001747	查看全部
ETC_20150317_001748	消耗品
ETC_20150317_001749	書
ETC_20150317_001750	錢
ETC_20150317_001751	輔助武器
ETC_20150317_001752	權杖
ETC_20150317_001753	外套
ETC_20150317_001754	帽子
ETC_20150317_001755	雙手槍
ETC_20150317_001756	請放上道具。
ETC_20150317_001757	寶石
ETC_20150317_001758	鑲嵌槽
ETC_20150317_001759	{nl}{nl}未來可以裝備的魔法護身符數量 ： {Remain}
ETC_20150317_001760	請選擇要修理的道具。
ETC_20150317_001761	沒有要修理的道具。
ETC_20150317_001762	這道具是不可能的種類。
ETC_20150317_001763	可裝備
ETC_20150317_001764	交易所需要的潛力不足。
ETC_20150317_001765	請選擇道具。
ETC_20150317_001766	您要消耗所選擇的道具並製造毒嗎？
ETC_20150317_001767	在相同地區不能使用。
ETC_20150317_001768	道具Buff中
ETC_20150317_001769	系列
ETC_20150317_001770	寵物裝備
ETC_20150317_001771	修理完成
ETC_20150317_001772	寵物防具
ETC_20150317_001773	寵物武器
ETC_20150317_001774	頭盔
ETC_20150317_001775	再使用待機時間 ： {Sec}秒
ETC_20150317_001776	武器配戴時效果
ETC_20150317_001777	輔助裝備配戴時效果
ETC_20150317_001778	上衣、下衣配戴時效果
ETC_20150317_001779	靴子配戴時效果
ETC_20150317_001780	手套配戴時效果
ETC_20150317_001781	最大攻擊力
ETC_20150317_001782	最小攻擊力
ETC_20150317_001783	防禦率
ETC_20150317_001784	迴避率
ETC_20150317_001785	火焰攻擊力
ETC_20150317_001786	技能能力值
ETC_20150317_001787	重量 ： {All}/{Max}
ETC_20150317_001788	重量 ({Rate}%)
ETC_20150317_001789	不可追加鑲嵌槽
ETC_20150317_001790	聯賽冠軍
ETC_20150317_001791	聯賽準優勝
ETC_20150317_001792	聯賽排名 {Auto_1}強
ETC_20150317_001793	危險 HP： 使用{Auto_1}% 恢復道具！
ETC_20150317_001794	已使用恢復道具。
ETC_20150317_001795	使用{Auto_1}時，永久增加最大氣力 {Auto_2}
ETC_20150317_001796	搭乘
ETC_20150317_001797	下來
ETC_20150317_001798	撫摸
ETC_20150317_001799	情報
ETC_20150317_001800	和寵物距離太遠。
ETC_20150317_001801	請選擇要帶走寵物的PC。
ETC_20150317_001802	和[{Name}] 寵物在一起。
ETC_20150317_001803	已成功領養寵物。
ETC_20150317_001804	名字裡不能有空白。
ETC_20150317_001805	正在一起
ETC_20150317_001806	要給飼料，請從寵物背上下來。
ETC_20150317_001807	物理攻擊力
ETC_20150317_001808	物理防禦力
ETC_20150317_001809	搭乘時防禦力追加
ETC_20150317_001810	搭乘時迴避追加
ETC_20150317_001811	搭乘時HP紅利
ETC_20150317_001812	力量
ETC_20150317_001813	體力
ETC_20150317_001814	水氣
ETC_20150317_001815	咆哮
ETC_20150317_001816	獵鳥
ETC_20150317_001817	要給{Silver}銀幣提升{Stat}嗎？
ETC_20150317_001818	命中率
ETC_20150317_001819	暴擊
ETC_20150317_001820	敏捷
ETC_20150317_001821	處於坐下的狀態，不能搭乘寵物。
ETC_20150317_001822	不是可以裝備的寵物。
ETC_20150317_001823	搭乘時物理攻擊力追加
ETC_20150317_001824	搭乘時魔法攻擊力追加
ETC_20150317_001825	寵物的攻擊力追加 {Value}
ETC_20150317_001826	寵物的HP追加 {Value}
ETC_20150317_001827	寵物的防禦力追加 {Value}
ETC_20150317_001828	寵物的命中率追加 {Value}
ETC_20150317_001829	沒有已召喚的寵物。
ETC_20150317_001830	請先從寵物背上下來。
ETC_20150317_001831	休眠
ETC_20150317_001832	活動
ETC_20150317_001833	沒有帶著飼料。
ETC_20150317_001834	餵飼料
ETC_20150317_001835	此寵物不吃這個飼料。
ETC_20150317_001836	已成功領養寵物，正在住處等你。
ETC_20150317_001837	使用技能時，無法搭乘寵物。
ETC_20150317_001838	要在哪裡點燃營火嗎？
ETC_20150317_001839	沒有木柴道具。
ETC_20150317_001840	確認
ETC_20150317_001841	是
ETC_20150317_001842	不是
ETC_20150317_001843	訊息
ETC_20150317_001844	[公告]
ETC_20150317_001845	已滿
ETC_20150317_001846	登出
ETC_20150317_001847	{ul}道具！{/}
ETC_20150317_001848	狩獵次數
ETC_20150317_001849	出現地區
ETC_20150317_001850	次
ETC_20150317_001851	傷害
ETC_20150317_001852	{ul}最大攻擊！{/}
ETC_20150317_001853	{ul}最大傷害！{/}
ETC_20150317_001854	等級
ETC_20150317_001855	獲得數量
ETC_20150317_001856	獲得怪物
ETC_20150317_001857	商店購買
ETC_20150317_001858	商店販賣
ETC_20150317_001859	指令
ETC_20150317_001860	交易
ETC_20150317_001861	變更裝備
ETC_20150317_001862	製作
ETC_20150317_001863	袋子
ETC_20150317_001864	包裹
ETC_20150317_001865	公會委託
ETC_20150317_001866	旅館主人
ETC_20150317_001867	輪盤
ETC_20150317_001868	名
ETC_20150317_001869	結束時間
ETC_20150317_001870	%v名
ETC_20150317_001871	地區
ETC_20150317_001872	獲得
ETC_20150317_001873	繼承
ETC_20150317_001874	開始
ETC_20150317_001875	參加
ETC_20150317_001876	已獲得道具。
ETC_20150317_001877	飾品
ETC_20150317_001878	組合
ETC_20150317_001879	製作法
ETC_20150317_001880	主動技能
ETC_20150317_001881	被動技能
ETC_20150317_001882	1. 寫一些句子讓你的道具大賣吧！
ETC_20150317_001883	2. 將個人要販賣的道具放在下方欄位上。
ETC_20150317_001884	1. 寫一些句子說明你想要買什麼道具吧！
ETC_20150317_001885	2. 追加想要購買的道具。
ETC_20150317_001886	生活
ETC_20150317_001887	檢察官活動
ETC_20150317_001888	突發活動
ETC_20150317_001889	個別活動
ETC_20150317_001890	獲得
ETC_20150317_001891	已持有。
ETC_20150317_001892	野外BOSS登場！
ETC_20150317_001893	道具
ETC_20150317_001894	地圖
ETC_20150317_001895	成就
ETC_20150317_001896	麥克風
ETC_20150317_001897	任務
ETC_20150317_001898	其他角色
ETC_20150317_001899	取消參加
ETC_20150317_001900	{Auto_1}強
ETC_20150317_001901	決勝
ETC_20150317_001902	聯賽PVP已開始。
ETC_20150317_001903	關閉
ETC_20150317_001904	禮物分數 +{Auto_1}！
ETC_20150317_001905	禮物分數 +{Auto_1}
ETC_20150317_001906	獎勵
ETC_20150317_001907	經驗值
ETC_20150317_001908	(相生相剋攻擊)
ETC_20150317_001909	需要登錄冒險日誌。要坐下來按下 a鍵幫你更新嗎？
ETC_20150317_001910	可以使用[{Auto_1}] 稱號。
ETC_20150317_001911	特性
ETC_20150317_001912	{@st59}如果點擊會出現詳細資訊。{/}
ETC_20150317_001913	下一次升級需要相同職業職業。
ETC_20150317_001914	使用技能點數，提升技能等級。
ETC_20150317_001915	裝備情報
ETC_20150317_001916	不使用
ETC_20150317_001917	使用
ETC_20150317_001918	各自獲得
ETC_20150317_001919	順序獲得
ETC_20150317_001920	隨機分配
ETC_20150317_001921	平衡分配
ETC_20150317_001922	等級差
ETC_20150317_001923	全部
ETC_20150317_001924	戰士
ETC_20150317_001925	魔法師
ETC_20150317_001926	弓箭手
ETC_20150317_001927	聖職者
ETC_20150317_001928	查看情報
ETC_20150317_001929	分流
ETC_20150317_001930	要移動到{Channel}分流嗎？
ETC_20150317_001931	價格
ETC_20150317_001932	的住處
ETC_20150317_001933	分流已關閉。
ETC_20150317_001934	NXP商店
ETC_20150317_001935	防禦
ETC_20150317_001936	前方射擊！
ETC_20150317_001937	集合！
ETC_20150317_001938	突擊！
ETC_20150317_001939	後退！
ETC_20150317_001940	徹退！
ETC_20150317_001941	{@st45w3}{s18}{Auto_1} 銀幣{/}
ETC_20150317_001942	{@st42b}完成時 {Auto_1} 級達成
ETC_20150317_001943	{@st54}{b}獎勵{/}
ETC_20150317_001944	日
ETC_20150317_001945	時
ETC_20150317_001946	分
ETC_20150317_001947	秒
ETC_20150317_001948	任務
ETC_20150317_001949	後，可以開始。
ETC_20150317_001950	{@st41}中獎獎勵{/}
ETC_20150317_001951	{@st41}沒中獎勵{/}
ETC_20150317_001952	開啟中
ETC_20150317_001953	沒有寶箱獎勵清單。
ETC_20150317_001954	號獎勵設錯了。
ETC_20150317_001955	破壞樹根水晶後，可以恢復耐力。
ETC_20150317_001956	職業
ETC_20150317_001957	{@st41b}稱號 ：{/}
ETC_20150317_001958	{@st41b}{Auto_1} 成就分數 ：{/} {s20}{ol}{#FFFF00}{Auto_2}{/}
ETC_20150317_001959	{@st41b}NPC 冒險分數 ： {/}
ETC_20150317_001960	買家
ETC_20150317_001961	賣家
ETC_20150317_001962	如果要裝備寶石，請按 SHIFT + 左點擊
ETC_20150317_001963	鑲嵌槽紅利
ETC_20150317_001964	請將寶石放入鑲嵌槽。
ETC_20150317_001965	沒有空間了。
ETC_20150317_001966	決定了嗎？
ETC_20150317_001967	密語
ETC_20150317_001968	若要裝備就點擊右邊按鍵
ETC_20150317_001969	若要販賣就點擊右邊按鍵
ETC_20150317_001970	若要解除就點擊右邊按鍵
ETC_20150317_001971	等級以上
ETC_20150317_001972	修理費用
ETC_20150317_001973	{Auto_1} 道具已消耗{Auto_2}個。
ETC_20150317_001974	道具等級
ETC_20150317_001975	可進行
ETC_20150317_001976	進行中
ETC_20150317_001977	完成
ETC_20150317_001978	成功
ETC_20150317_001979	{Auto_1}的 {Auto_2}
ETC_20150317_001980	持有其它角色的所有權。
ETC_20150317_001981	請輸入數量。({Auto_1} ~ {Auto_2})
ETC_20150317_001982	不可能的合成。
ETC_20150317_001983	解除選擇
ETC_20150317_001984	您要使用點數，提升{Auto_1}的能力值嗎？
ETC_20150317_001985	您要使用點數，提升能力值嗎？
ETC_20150317_001986	您要使用點數，學習技能嗎？
ETC_20150317_001987	可使用的技能點數
ETC_20150317_001988	類別
ETC_20150317_001989	被動
ETC_20150317_001990	強化技能
ETC_20150317_001991	可使用
ETC_20150317_001992	全部
ETC_20150317_001993	點數
ETC_20150317_001994	欄位不足。
ETC_20150317_001995	任務目錄
ETC_20150317_001996	已獲得冒險日誌。
ETC_20150317_001997	{#000000}日誌上沒有記錄的道具
ETC_20150317_001998	日誌上沒有記錄的怪物
ETC_20150317_001999	騎槍精通
ETC_20150317_002000	射擊術
ETC_20150317_002001	戰術行動
ETC_20150317_002002	身體鍛鍊
ETC_20150317_002003	無
ETC_20150317_002004	無增加
ETC_20150317_002005	失去的
ETC_20150317_002006	手套
ETC_20150317_002007	靴子
ETC_20150317_002008	左手
ETC_20150317_002009	右手
ETC_20150317_002010	雙手
ETC_20150317_002011	身體
ETC_20150317_002012	腰帶
ETC_20150317_002013	強化潛力
ETC_20150317_002014	需要費用 ： {Auto_1}
ETC_20150317_002015	需要時間
ETC_20150317_002016	{Auto_1}日
ETC_20150317_002017	{Auto_1}時
ETC_20150317_002018	{Auto_1}分
ETC_20150317_002019	{Auto_1}秒
ETC_20150317_002020	{Auto_1}年 {Auto_2}月 {Auto_3}日 {Auto_4}時 {Auto_5}分 {Auto_6}秒
ETC_20150317_002021	完成日
ETC_20150317_002022	收回
ETC_20150317_002023	退還 ： {Auto_1}
ETC_20150317_002024	時間追加
ETC_20150317_002025	帶道具來
ETC_20150317_002026	{Auto_1}月 {Auto_2}日
ETC_20150317_002027	記錄更新失敗
ETC_20150317_002028	傭兵弓箭手
ETC_20150317_002029	剩餘{Auto_1}個
ETC_20150317_002030	{Auto_1}已破壞敵軍塔台，會發送硬幣給隊伍。
ETC_20150317_002031	已被{Auto_1}破壞我軍塔台。
ETC_20150317_002032	{Auto_1}已登場。消滅時會給很多獎勵。
ETC_20150317_002033	{Auto_1}已將{Auto_2}消$A滅$B了$C。
ETC_20150317_002034	召喚攻城支援兵們。
ETC_20150317_002035	縮短時間
ETC_20150317_002036	職業等級已達到{Auto_1}。
ETC_20150317_002037	可以轉職成{Auto_1}。
ETC_20150317_002038	請去找{Auto_1}。
ETC_20150317_002039	{Auto_1} {Auto_2}隻
ETC_20150317_002040	被攻擊 {Auto_1}次
ETC_20150317_002041	無被攻擊
ETC_20150317_002042	過度傷害
ETC_20150317_002043	主要
ETC_20150317_002044	次要
ETC_20150317_002045	獲得獎勵！！
ETC_20150317_002046	{Giver}送給{Target}的禮物
ETC_20150317_002047	數量
ETC_20150317_002048	接受
ETC_20150317_002049	購買
ETC_20150317_002050	逛市場
ETC_20150317_002051	[不可開始]
ETC_20150317_002052	[可開始]
ETC_20150317_002053	[進行]
ETC_20150317_002054	[完成待機]
ETC_20150317_002055	[完成]
ETC_20150317_002056	反覆
ETC_20150317_002057	回收樹木津液
ETC_20150317_002058	正將黑眼麥茲的血獻給祭壇
ETC_20150317_002059	黏稠的染料完成！
ETC_20150317_002060	完成儀式
ETC_20150317_002061	抄走。
ETC_20150317_002062	停止。
ETC_20150317_002063	發現了神殿的祭祀用具！
ETC_20150317_002064	這個祭祀用具損毀了，所以幫不上忙。
ETC_20150317_002065	正在淨化汙染源
ETC_20150317_002066	已淨化汙染源。
ETC_20150317_002067	2秒後BOSS使用範圍爆發！
ETC_20150317_002068	HighBube_Spear：高階布貝：130
ETC_20150317_002069	arburn_pokubu_green：綠色獠牙豬：131
ETC_20150317_002070	水母怪幼蟲打算自爆！
ETC_20150317_002071	參與柯拉佩達任務
ETC_20150317_002072	參與佩迪米安任務
ETC_20150317_002073	必須消滅汙染的原因-蒙雷幾那，{nl}才可以淨化池塘。
ETC_20150317_002074	正在消除汙染源
ETC_20150317_002075	已消除汙染源！
ETC_20150317_002076	請先清除周圍的怪物令汙染源弱化。
ETC_20150317_002077	昏迷的暗黑麥茲
ETC_20150317_002078	回收筒散發出血腥味，沒辦法使用。
ETC_20150317_002079	已獲得無力草！
ETC_20150317_002080	尋找中
ETC_20150317_002081	找到可以使用的炸藥！
ETC_20150317_002082	木桶的狀態異常！{nl}請離木桶遠一點！
ETC_20150317_002083	已獲得洋鐵桶。
ETC_20150317_002084	已經擁有洋鐵桶。
ETC_20150317_002085	已獲得長線。
ETC_20150317_002086	已經擁有長線。
ETC_20150317_002087	井裡散發出某種腐爛的味道。
ETC_20150317_002088	接受說明
ETC_20150317_002089	回答沒關係
ETC_20150317_002090	因為祭壇周圍有怪物，所以沒有辦法確認！
ETC_20150317_002091	正在撒種子
ETC_20150317_002092	背包空間不足。
ETC_20150317_002093	什麼也沒有發現。
ETC_20150317_002094	春光草已經在周圍了。
ETC_20150317_002095	已發現春光草！
ETC_20150317_002096	正將水獻給祭壇
ETC_20150317_002097	正將樹木津液獻給祭壇
ETC_20150317_002098	將黑眼麥茲的血獻給祭壇
ETC_20150317_002099	將水獻給祭壇
ETC_20150317_002100	將樹木津液獻給祭壇
ETC_20150317_002101	完成儀式的祭壇
ETC_20150317_002102	樹木津液回收筒已清空。
ETC_20150317_002103	啟示者！{nl}我一定會記住你們的臉孔！
ETC_20150317_002104	挖掘中
ETC_20150317_002105	已獲得藥草！
ETC_20150317_002106	什麼也沒有挖到。
ETC_20150317_002107	正在膜拜女神像
ETC_20150317_002108	完成膜拜女神像
ETC_20150317_002109	為淨化祈禱中
ETC_20150317_002110	邪惡亡靈出沒在邪惡氣息中！{nl}必須在60秒內消滅才行！
ETC_20150317_002111	什麼事也沒發生！
ETC_20150317_002112	正在清理女神像。
ETC_20150317_002113	女神像變乾淨了！
ETC_20150317_002114	女神像需要管理！
ETC_20150317_002115	請先消滅周圍的幽靈范托。
ETC_20150317_002116	感受到一股讓人心情變壞的震動，去找庫德利歐吧！
ETC_20150317_002117	怪物將要爆發了。
ETC_20150317_002118	正在開啟箱子
ETC_20150317_002119	方尖塔動力源
ETC_20150317_002120	哎喲！真累！
ETC_20150317_002121	腰好痛，連動也對能動！
ETC_20150317_002122	呼.. 呼
ETC_20150317_002123	我家鄉的樹也這樣堅硬吧！
ETC_20150317_002124	呃呃啊！
ETC_20150317_002125	哎呀！
ETC_20150317_002126	到底什麼時候交班呀？
ETC_20150317_002127	唉！一邊想著討厭的傢伙一邊砍柴！
ETC_20150317_002128	不要太靠近！會受傷喔！
ETC_20150317_002129	哎喲！真累！
ETC_20150317_002130	隱藏的書桌
ETC_20150317_002131	澤米娜
ETC_20150317_002132	奧施莉奈
ETC_20150317_002133	瓦卡麗涅
ETC_20150317_002134	正確答案！再見！
ETC_20150317_002135	答錯了！再挑戰一次！
ETC_20150317_002136	夏班史達
ETC_20150317_002137	布琳史達
ETC_20150317_002138	真是的，答錯了！機會很多，再試試吧！
ETC_20150317_002139	烏斯卡
ETC_20150317_002140	坎寧安
ETC_20150317_002141	答對了！
ETC_20150317_002142	雖然答錯了！但別失望！
ETC_20150317_002143	正在尋找散頁
ETC_20150317_002144	已找到魔法師之書的散頁！
ETC_20150317_002145	找不到散頁。
ETC_20150317_002146	感性的貓頭鷹雕像
ETC_20150317_002147	戰士大師登場了！請留意身邊。
ETC_20150317_002148	法師大師登場了！請留意身邊。
ETC_20150317_002149	弓箭手大師登場了！請留意身邊。
ETC_20150317_002150	牧師大師登場了！請留意身邊。
