QUEST_LV_0100_20150317_000001	警戒兵
QUEST_LV_0100_20150317_000678	你終於來了。請去向幽靈范托取得灰塵樣本，{nl}因為散播病毒的原因有很多種。
QUEST_LV_0100_20150317_000679	治療病很重要，但預防更重要，{nl}要經常保持手部的乾淨吧？
QUEST_LV_0100_20150317_000680	謝謝，{nl}只要再找到一種樣本就可以了。
QUEST_LV_0100_20150317_000681	這是好機會。大柯卡特里斯已經生病了，{nl}為了讓我能進行調查，請取得足夠的尾巴回來。
QUEST_LV_0100_20150317_000682	就算預防失敗生病了，也能經由研究結果立刻製作出藥物。
QUEST_LV_0100_20150317_000683	已經帶回來了呀。真是太感謝了，{nl}你就等於是拯救了佩迪米安無數人的性命一樣。
QUEST_LV_0100_20150317_000684	王陵的魔力如果獲得釋放，就可以抑制邪惡氣息。{nl}為了釋放魔力，需要守護者內部的活性石。{nl}
QUEST_LV_0100_20150317_000685	祕密場所說明書
QUEST_LV_0100_20150317_000686	為了往後啟示者的到來，於是便隱藏了王室的秘寶，{nl}尋找隱藏的守護者力量，並且開啟秘密之門吧。
QUEST_LV_0100_20150317_000687	我追隨的哥哥的隱身處在上面的遺棄的農舍，{nl}去那邊尋找哥哥的日誌吧。
QUEST_LV_0100_20150317_000688	克莉妲
QUEST_LV_0100_20150317_000689	在我失去意識的時候怪物數量好像又增加了。{nl}加比婭大人會不會有甚麼不測呢…{nl}
QUEST_LV_0100_20150317_000690	說不定告訴大家我們已經來到這裡反而能幫上加比婭呢。{nl}下方有個可以燃燒的封印。走吧！
QUEST_LV_0100_20150317_000691	算了。既然都知道我們來了，一定要好好加油打氣的吧！{nl}趕快上去加比婭大人那裏去吧。{nl}{nl}
QUEST_LV_0100_20150317_000692	王室秘寶守護者
QUEST_LV_0100_20150317_000693	你具備獲得秘寶的資格。
QUEST_LV_0100_20150317_000694	巨眼丹提正是圖想要操縱被玷汙的守護者們。{nl}別讓牠們再褻瀆守護者們了快消滅牠們吧！
QUEST_LV_0100_20150317_000695	王陵魔力抑制器可以利用守護者內部的活性石力量破壞，{nl}被抑制的王陵魔力獲得解放，並且能抑制邪惡的力量。
QUEST_LV_0100_20150317_000696	邪惡的存在只會讓守護者留下魔族的名字而已，{nl}守護者大概不清楚啟示者的存在，並且會破壞王陵。{nl}
QUEST_LV_0100_20150317_000697	必須趁最後守護者貝亞卡拉斯破壞王陵之前阻止他。
QUEST_LV_0100_20150317_000698	趁最後守護者貝亞卡拉斯破壞王陵之前阻止他吧。{nl}
QUEST_LV_0100_20150317_000699	以女神之名向你道謝！{nl}麻煩必須先消滅會傳染疾病的骯髒的柯卡特里斯。
QUEST_LV_0100_20150317_000700	那是叫做莫厄的怪物。{nl}衝向遺棄的農舍上方了。{nl}
QUEST_LV_0100_20150317_000701	只要能維持活性石的力量，就能破壞王陵魔力抑制器，{nl}活性石的力量消失的話，可以在王陵魔力抑制器說明書中讓它再次活性化。
QUEST_LV_0100_20150317_000702	這個世界變成這個樣子，拉伊瑪女神是不是都知道呢？{nl}因為祂是預知命運的女神。
QUEST_LV_0100_20150317_000703	就算明天就是世界末日也不足為奇，{nl}但我還是很想知道。為什麼女神會隱藏蹤跡呢…
QUEST_LV_0100_20150317_000704	{img F1 40 40}點擊按鍵，利用剩餘的狀態點數增加想要能力值後直接套用就可以了。{nl}
QUEST_LV_0100_20150317_000705	{img F10 40 40}點擊按鍵，透過小幫手就能確認詳細內容。
QUEST_LV_0100_20150317_000706	{img F3 40 40}點擊按鍵，開啟技能視窗，將可以使用的技能點數套用在想增加的技能上就可以了。{nl}
QUEST_LV_0100_20150317_000707	尋找於旅途中散落各地的女神像，進行膜拜就會得到解答的。{nl}
QUEST_LV_0100_20150317_000708	按下{img F10 40 40}鍵，可利用小幫手確認詳細內容。
QUEST_LV_0100_20150317_000709	其他部隊目前在礦山村莊交戰當中，我們則在這邊抵擋怪物，{nl}布貝應該沒有聲東擊西的才能才對…真叫人擔心。
QUEST_LV_0100_20150317_000710	這邊也是問題，但在礦山村莊交戰中的其他部隊也讓人很擔心，{nl}換做是平常的話，早就已經消滅敵人了。
QUEST_LV_0100_20150317_000711	看守者吉爾伯特
QUEST_LV_0100_20150317_000712	又是潘圖幹的好事，{nl}還偷走了完好無缺的零件，{nl}那我們就得搶回來才行。不是嗎？
QUEST_LV_0100_20150317_000713	我也許會自己處理。{nl}那麼他們就只能不停顫抖，在我面前乖乖等待零件了，{nl}但如果這段期間有其他傢伙趁機偷走零件該怎麼辦呢？
QUEST_LV_0100_20150317_000714	太好了，{nl}接下來只要把這塞進去，抹上一點油就能動了吧。
QUEST_LV_0100_20150317_000715	潘圖在米爾葵斯塔坡的草叢藏了一些零件，{nl}情況很緊急，先去把那邊的零件帶回來吧。
QUEST_LV_0100_20150317_000716	潘圖以為草叢就能完全遮住零件，{nl}想當初他們本來是一群可愛的小子。
QUEST_LV_0100_20150317_000717	看守者梅透
QUEST_LV_0100_20150317_000718	我在尋找纜車零件，但卻一直找不到，{nl}會不會是被內帕比向陽地的傑克諾茲吞進肚子了呢？{nl}
QUEST_LV_0100_20150317_000719	如果是聖殿十字軍大師的話，應該在諾爾高原吧。{nl}搭纜車就可以到達。{nl}
QUEST_LV_0100_20150317_000720	我也想快點教訓魔族一頓，{nl}但纜車看起來岌岌可危，必須先修理好才能去，這也是沒辦法的事情。
QUEST_LV_0100_20150317_000721	如果沒有我的話，吉爾伯特大叔大概早就不管三七二十一搜遍這個遼闊的地區了吧，{nl}真是叫人擔心。
QUEST_LV_0100_20150317_000722	這是我們代代侍奉的神聖之地。{nl}每次災難來臨時，我們都會祈禱和進行重要的會議。{nl}
QUEST_LV_0100_20150317_000723	不過自從4年前開始被邪惡力量侵蝕後就變成這副模樣了。{nl}看來大人們也無能為力。
QUEST_LV_0100_20150317_000724	以前只有在破舊的籃子綁上繩索而已。{nl}每次要過去都必須賭上性命。{nl}
QUEST_LV_0100_20150317_000725	所以我便親自前往柯拉佩達學習技術，{nl}差不多該尋找繼承人了，但梅透好像沒有任何興趣。
QUEST_LV_0100_20150317_000726	看守者帕吉爾
QUEST_LV_0100_20150317_000727	詛咒人偶內部應該裝滿了蘑菇卡利亞的鬃毛，{nl}他應該就在圖斯坦帝高原，可以帶回來給我嗎？
QUEST_LV_0100_20150317_000728	以前都會說是什麼靈物而被尊奉，{nl}但最近只要走出村子幾步，就會從四面八方衝過來一副要將人吞進肚子的樣子，這也是沒辦法的事情。
QUEST_LV_0100_20150317_000729	看來你忘記蘑菇卡利亞還活著的那番話了。{nl}總之辛苦了。
QUEST_LV_0100_20150317_000730	時間還綽綽有餘，你就先去找阿爾基斯吧。
QUEST_LV_0100_20150317_000731	我正想要前往聖堂，{nl}聖殿十字軍朋友還真是喜歡「萬一」這個單字。{nl}
QUEST_LV_0100_20150317_000732	如果這邊的事情能依照作戰順利進行，那我們就不會再碰面了吧，{nl}聽起來好像我很不想見到你一樣，呵呵。
QUEST_LV_0100_20150317_000733	看守者艾倫
QUEST_LV_0100_20150317_000734	抵禦魔族的瑪查斯休憩地的結界崩毀了，{nl}無論如何我都想要重建，你可以幫助我嗎？
QUEST_LV_0100_20150317_000735	聽說結界是很久前設置的，{nl}我卻沒能守護結界，我要如何老實告訴祖先們呢？
QUEST_LV_0100_20150317_000736	我的腦袋很差，根本就不知道該如何修復結界，請你去轉告凱耶陀納斯。
QUEST_LV_0100_20150317_000737	追隨者凱耶陀納斯
QUEST_LV_0100_20150317_000738	怪不得…魔族們會突然從四面八方冒出，搞得我一頭霧水，{nl}得將這項事實轉告兄弟們才行。謝謝你。
QUEST_LV_0100_20150317_000739	看守者凱奈司
QUEST_LV_0100_20150317_000740	不能因為魔族召喚陣全都消失而掉以輕心，{nl}畢竟打從一開始就不知道何時會出現。{nl}
QUEST_LV_0100_20150317_000741	總之，也請轉告位於迎花嶺另一端的凱耶陀納斯。
QUEST_LV_0100_20150317_000742	雖然有些偏激，但我在想要不要乾脆將魔族的靈魂整個消滅算了。{nl}
QUEST_LV_0100_20150317_000743	適當地教訓魔族後，利用結界的力量抽出靈魂，{nl}接著再消滅靈魂。你要嘗試看看嗎？
QUEST_LV_0100_20150317_000744	最好趕快消滅被抽出的靈魂。{nl}要是它復活的話也是滿恐怖的吧？
QUEST_LV_0100_20150317_000745	其實我本來只是抱持僥倖的態度，結果真的成功了？{nl}請去轉告位於迎花嶺另一端的凱耶陀納斯，{nl}他應該會很開心。
QUEST_LV_0100_20150317_000746	終於能稍微喘口氣了，{nl}必須快點振作起來抵擋魔族才行，{nl}也去轉告凱耶陀納斯吧。要在這裡抵擋敵人並非容易的事情。
QUEST_LV_0100_20150317_000747	這次的魔族相當強，{nl}為了讓魔族無法越過來，我會繼續死守在這個地方。
QUEST_LV_0100_20150317_000748	幸虧你平安無事，{nl}在那之前救援者必須先了解一下聖戰。{nl}
QUEST_LV_0100_20150317_000749	我的老朋友阿爾基斯會負責說明，你最好聽一下吧。
QUEST_LV_0100_20150317_000750	因為待在高處，所以能清楚看見怪物，{nl}說不定很快就會被包圍。
QUEST_LV_0100_20150317_000751	被破壞的結界碎片散落在瑪查斯休憩地，{nl}收集後交給迎花嶺的凱耶陀納斯。{nl}
QUEST_LV_0100_20150317_000752	過世的父親如果知道我成為看守者，相信他一定會很開心，{nl}但我好像已經闖禍了。
QUEST_LV_0100_20150317_000753	這種程度的危險還能稱得上是和平吧，{nl}目前為止。
QUEST_LV_0100_20150317_000754	那是初代聖殿十字軍為了應付魔族入侵所準備的裝置之一，{nl}為了能包圍住整個玉光懸崖，配置了相當多個裝置。{nl}
QUEST_LV_0100_20150317_000755	看守者們如果因為結界問題而遭遇困難的話，希望你能助他們一臂之力。
QUEST_LV_0100_20150317_000756	計畫失敗的消息已經傳開了，{nl}在傑斯堤恢復力氣之前，無論如何都得想想辦法。
QUEST_LV_0100_20150317_000757	看守者艾拉
QUEST_LV_0100_20150317_000758	你試著想像如果有一天那些花突然咬住你的腳，{nl}雖然不清楚你會怎麼想，但我並不認為那種畫面很美麗。
QUEST_LV_0100_20150317_000759	我需要豬籠草的樹液，但豬籠草卻一直不起來，{nl}不起來就無法取得。{nl}
QUEST_LV_0100_20150317_000760	所以我打算點火看看。{nl}希望你能幫我捕捉綠頭鴨並收集幫助點火的脂肪。
QUEST_LV_0100_20150317_000761	看守者里凱
QUEST_LV_0100_20150317_000762	長老們給了我一堆符咒說是對消滅魔族有幫助，{nl}真希望能派上用場。
QUEST_LV_0100_20150317_000763	長老們根本就沒有搞清楚狀況，{nl}當初並不是聖殿十字軍，而是我們該前往聖堂。
QUEST_LV_0100_20150317_000764	好，很好。{nl}就盡量撐下去吧。
QUEST_LV_0100_20150317_000765	來，燃燒這個脂肪塊喚醒皮艾奈原野的豬籠草吧！{nl}豬籠草的樹液如果壞了就會失去效用，要趁它還活著時將全部樹液取出。
QUEST_LV_0100_20150317_000766	有我這種程度才能負責那種怪物，{nl}你覺得怎麼樣呢？
QUEST_LV_0100_20150317_000767	本來彼此都互相堅守自己的領域，卻因為魔族的關係而打破平衡。{nl}
QUEST_LV_0100_20150317_000768	不聽話？{nl}該不會是巴利瑪聖所的潘圖圖騰造成的吧？
QUEST_LV_0100_20150317_000769	我會給你更強力的符咒，請在破壞潘圖圖騰後使用，{nl}就像剛才一樣。懂嗎？
QUEST_LV_0100_20150317_000770	對了，如果被洗腦的潘圖將攻擊的潘圖消滅的話，那個潘圖也會加入我們。
QUEST_LV_0100_20150317_000771	果然…我終於稍微有頭緒了。{nl}辛苦了。
QUEST_LV_0100_20150317_000772	追隨者阿爾馮薩斯
QUEST_LV_0100_20150317_000773	真是驚人，{nl}這麼一來在聖堂的兄弟們也就能放心戰鬥了吧。
QUEST_LV_0100_20150317_000774	召喚魔族的魔法陣是最優先的問題，{nl}只要在魔法陣上塗鴉，應該就能阻止召喚吧？
QUEST_LV_0100_20150317_000775	至少魔族們就沒有管道穿越到這個地方，{nl}說不定會有更好的效果？
QUEST_LV_0100_20150317_000776	反過來將他們吸進去呢，{nl}確實真的很有效果？
QUEST_LV_0100_20150317_000777	追隨者帕伊達史
QUEST_LV_0100_20150317_000778	竟然將祭壇託付給托瑪斯哥哥，真是太可靠了。{nl}
QUEST_LV_0100_20150317_000779	巴伊杜堤斯哥哥在1層等，{nl}雖然有傑斯堤的結界阻擋在那邊，但利用祭壇的力量就能輕易解除，別擔心。
QUEST_LV_0100_20150317_000780	追隨者帕伊達史
QUEST_LV_0100_20150317_000781	我很後悔沒能攜帶足夠的聖靈石，{nl}我應該塞滿整個口袋才對的。
QUEST_LV_0100_20150317_000782	聖堂的祭壇是為了抵擋魔族所創造的，{nl}操作方法當然只有我們聖殿十字軍知道。
QUEST_LV_0100_20150317_000783	巴伊杜堤斯哥哥沒事嗎？{nl}幸虧有啟示者幫忙，不然就差點發生大事了。
QUEST_LV_0100_20150317_000784	追隨者托瑪斯
QUEST_LV_0100_20150317_000785	約諾溫企圖啃食祭壇，{nl}希望你能去處理一下約諾溫。
QUEST_LV_0100_20150317_000786	如果有聖靈石的話，真想一顆顆塞入約諾溫的嘴裡。
QUEST_LV_0100_20150317_000787	追隨者堤貝里尤斯
QUEST_LV_0100_20150317_000788	我正在製作對魔族來說相當致命的炸彈，{nl}只要有淨化精髓就能完成，你願意幫忙嗎？
QUEST_LV_0100_20150317_000789	在聖堂製作炸彈？總覺得有些褻瀆神聖的感覺，{nl}但這次女神應該會原諒我吧？
QUEST_LV_0100_20150317_000790	我想要對葛利查頓測試一下，{nl}我會給你炸彈，你願意幫我將炸彈黏在葛利查頓的背上嗎？{nl}
QUEST_LV_0100_20150317_000791	如果擔心安全的話，我也會給你羅姆巴聖水，{nl}喝下聖水後，短時間內魔族會看不見你。
QUEST_LV_0100_20150317_000792	將炸彈黏在目標身上後就立刻逃跑，{nl}那種身材就算追過來能跑多快呢？
QUEST_LV_0100_20150317_000793	我只剩下空的聖靈石而已，{nl}啟示者是否能協助我補充聖靈石呢？
QUEST_LV_0100_20150317_000794	只要填滿這些聖靈石，就算沒有弟兄們幫忙，我也能夠獨自撐下去。
QUEST_LV_0100_20150317_000795	當應付成群結隊的敵人時，先攻擊隊長是致勝的法則，{nl}這次當然就是葛利查頓。
QUEST_LV_0100_20150317_000796	沒想到這麼快就處理好了，{nl}謝謝你的幫忙。
QUEST_LV_0100_20150317_000797	追隨者多納塔史
QUEST_LV_0100_20150317_000798	辛苦了，{nl}這樣就有足夠的量製作變身卷軸。
QUEST_LV_0100_20150317_000799	只要使用這個卷軸，就能變身成魔族，{nl}請好好說服魔族自己主動前往祭壇吧。
QUEST_LV_0100_20150317_000800	魔族大概已經知道我的味道了，所以接二連三都被發現，{nl}啟示者來到這邊沒有多久，應該能輕易就騙過他們。
QUEST_LV_0100_20150317_000801	好，{nl}這樣大概就充分掌握到了吧。
QUEST_LV_0100_20150317_000802	變更信仰只要借助祭壇的力量就能簡單進行，{nl}請先讓葛羅貝加斯祭壇的力量趨向活性化吧，{nl}之後在受到祭壇影響的地方和魔族戰鬥就可以了。
QUEST_LV_0100_20150317_000803	魔族的精神力比想像中更強，{nl}在忘記傑斯堤之前，必須要立下足夠的功勞才行。
QUEST_LV_0100_20150317_000804	也有可能被葛利查頓發現，所以千萬別太相信聖水。
QUEST_LV_0100_20150317_000805	我正在思考能有效擊退魔族的方法，{nl}既然啟示者也來了，讓人覺得更有自信呢。
QUEST_LV_0100_20150317_000806	只要設置聖靈石，附近魔族的生命力就會自然而然被吸收，{nl}失去生命力停止行動的怪物就別理會了。
QUEST_LV_0100_20150317_000807	從魔族身上可以取得邪惡精髓，{nl}只要在下方的祭壇進行淨化就可以了。
QUEST_LV_0100_20150317_000808	真是的，沒自信的話就會馬上被發現的。{nl}請於使用卷軸前，先與魔族決鬥以增加自信比較重要。
QUEST_LV_0100_20150317_000809	金石學者雷蒙德
QUEST_LV_0100_20150317_000810	紀念碑不是只有一個而已，{nl}艾洛堤柱列廣場有完整的紀念碑。{nl}
QUEST_LV_0100_20150317_000811	會是誰紀念那種叛亂者呢？ 會不會是有其他理由呢？
QUEST_LV_0100_20150317_000812	保存狀態出奇的完好，{nl}想要恢復就得下一番功夫才行。
QUEST_LV_0100_20150317_000813	因為他是叛逆者的關係，他的紀念碑被施下了狠毒的魔法，{nl}而我們則要反過來利用這一點。
QUEST_LV_0100_20150317_000814	如果有支援的話，大概就能拯救傭兵吧，{nl}研究叛逆者並不等於是崇拜，真搞不懂為什麼要斷絕支援呢？{nl}
QUEST_LV_0100_20150317_000815	謝謝，{nl}那個艾哈特大概也是被紀念碑的魔力所吸引的吧。
QUEST_LV_0100_20150317_000816	外觀長得像樹木的底部，卻對石板感興趣，讓人覺得有些意外呢。
QUEST_LV_0100_20150317_000817	很遺憾的是，你沒有找到我們需要的碎片，{nl}該不會已經被吃掉了吧？
QUEST_LV_0100_20150317_000818	燒了安布羅樹精會不會就能找到被吞噬的碎片呢？{nl}這邊有以前準備的木柴，點火後放進去吧。
QUEST_LV_0100_20150317_000819	請小心一點，{nl}如果著火的安布羅樹精衝進營地就糟糕了。
QUEST_LV_0100_20150317_000820	寶物獵人艾當
QUEST_LV_0100_20150317_000821	我是寶物獵人，並不是怪物獵人，{nl}我並不想因為招惹怪物而在這邊立自己的墓碑。
QUEST_LV_0100_20150317_000822	破片都湊齊了，我和雷蒙德的交易結束了，{nl}請將這個包袱交給雷蒙德。
QUEST_LV_0100_20150317_000823	艾當說要交給我嗎？{nl}嗯。復原需要花費一些時間。{nl}
QUEST_LV_0100_20150317_000824	你可以趁這段時間將復原的碑石碎片交給我在艾洛堤柱列廣場的助手嗎？{nl}完全復原後，似乎會發生什麼好事的樣子。
QUEST_LV_0100_20150317_000825	金石學者史密德
QUEST_LV_0100_20150317_000826	這.…師傅成功了！{nl}請交給我。
QUEST_LV_0100_20150317_000827	不，還差一點，{nl}只要再稍微修理一下就可以了。
QUEST_LV_0100_20150317_000828	邪靈術師特拉修斯
QUEST_LV_0100_20150317_000829	接著請將準備好的活祭品放入東巴爾池塘的祭品甕，{nl}成功後召喚出來的惡靈就會來找我。
QUEST_LV_0100_20150317_000830	邪靈術也是要看使用者的用途吧，{nl}隨著施術者的意圖不同，有可能會是毒，也有可能會是良藥。
QUEST_LV_0100_20150317_000831	實驗失敗了？ 真是抱歉，{nl}看來得再研究一下是哪裡出了差錯。
QUEST_LV_0100_20150317_000832	利迪亞夏班的碑石
QUEST_LV_0100_20150317_000833	我叫做利迪亞夏班，{nl}為了承受深沉、沉重的悲傷，而專程來轉達我對露克立斯的真心。
QUEST_LV_0100_20150317_000834	木炭只有那些而已，請省著點用。
QUEST_LV_0100_20150317_000835	沒想到她和叛逆者露克立斯是同門？{nl}真是的。木炭幾乎都用光了。
QUEST_LV_0100_20150317_000836	最後露克立斯失敗了，{nl}他是因為忌妒、猜忌他的人而瓦解的，{nl}後來是我親手送他去女神的身邊。
QUEST_LV_0100_20150317_000837	所以利迪亞夏班和露克立斯是什麼關係呢？{nl}我的頭好痛，真是難以理解。
QUEST_LV_0100_20150317_000838	我帶著後悔與眼淚將露克立斯留在這個土地。{nl}如果有人打算繼承他的精神，我會將秘訣留下碑文中。{nl}就此停筆，不再贅述。
QUEST_LV_0100_20150317_000839	露克立斯達到的境界實在太高深且偉大了，{nl}但他崇高的使命實在很難在這個大地上實現。
QUEST_LV_0100_20150317_000840	進行長途旅行時通常都會盡可能減輕行李，{nl}到當地補給必需品才是最棒的選擇？！
QUEST_LV_0100_20150317_000841	只要握起弓，任何人都會想要擁有好的箭頭，{nl}怎麼樣？ 我會讓你見識一下好的箭頭，你要不要幫忙我呢？
QUEST_LV_0100_20150317_000842	他們是一群遲鈍的傢伙，相信不會太困難，{nl}嗯。
QUEST_LV_0100_20150317_000843	謝謝。非常熱情呢！{nl}真的很棒吧？
QUEST_LV_0100_20150317_000844	徘徊的靈魂
QUEST_LV_0100_20150317_000845	我們分隊收到消滅獨角獸的命令了。{nl}照理說應該會告訴我們詳細作戰計畫…
QUEST_LV_0100_20150317_000846	作戰命令書
QUEST_LV_0100_20150317_000847	引誘獨角獸的方法。{nl}1. 向喬雷收集喬雷魔石{nl}2. 在納里歇克斯聖所廢墟周圍設置魔石
QUEST_LV_0100_20150317_000848	警備兵利波
QUEST_LV_0100_20150317_000849	這是數年前失敗的戰略，{nl}這到底是從哪取得的呢？{nl}
QUEST_LV_0100_20150317_000850	原來如此。請將這個獨角獸的角交給那名少女。{nl}她哥哥後來失蹤了。
QUEST_LV_0100_20150317_000851	少女
QUEST_LV_0100_20150317_000852	我明明一直叫你們不要去的…
QUEST_LV_0100_20150317_000853	真的很恐怖。{nl}我也差一點就被選上，幸虧我運氣還不錯。
QUEST_LV_0100_20150317_000854	如果點火的木柴堆很困難拖過去的話，那就試著一腳踹飛吧。
QUEST_LV_0100_20150317_000855	榭魯瑪祭壇需要因普洛博克的火，{nl}只要小心翼翼從那個怪物的背後接近，然後將弓箭燒一下就行了。
QUEST_LV_0100_20150317_000856	本以為和雷蒙德締結契約會得到什麼好東西，{nl}結果除了石塊什麼都沒有。
QUEST_LV_0100_20150317_000857	完成復原的話，就會知道露克立斯的紀念碑中有什麼認為。
QUEST_LV_0100_20150317_000858	太厲害了，{nl}祭壇的啟用就交給我負責，你去找席那斯禮拜堂的帕伊達史吧。
QUEST_LV_0100_20150317_000859	人被逼到絕境時，內心如果知道中就有人會來幫助你的話，就會莫名產生一股力量。
QUEST_LV_0100_20150317_000860	很好。這樣就夠了。
QUEST_LV_0100_20150317_000861	展翅飛翔真是太爽快了！{nl}不過有點太吵了，需要進一步研究。
QUEST_LV_0100_20150317_000862	我第一次看到這麼飽滿的聖靈石，{nl}謝謝你如此盡心盡力，
QUEST_LV_0100_20150317_000863	魔族的攻擊比我想像的還要強。{nl}幫我消滅葛利查頓的話，也許就能挫挫他們的氣燄。
QUEST_LV_0100_20150317_000864	追隨者巴伊杜堤斯
QUEST_LV_0100_20150317_000865	我是來轉達傑斯堤爬上第2層的消息，但卻一時大意了，{nl}幸虧有遇見你，不然一切就完蛋了。
QUEST_LV_0100_20150317_000866	我調查過正門的結界，地下祭壇的力量似乎不太夠，{nl}說不定可以利用寇利羅斯的力量結晶。
QUEST_LV_0100_20150317_000867	女神大概早就知道會失敗，所以才會說要等待啟示者，{nl}不過既然已經傷到傑斯堤了，或許也能稱得上是收穫。
QUEST_LV_0100_20150317_000868	太好了，{nl}只要利用這個製作光之結晶，就能形成足以打破結界的力量。
QUEST_LV_0100_20150317_000869	將光之結晶帶到正門之前，先覺醒的話比較好。{nl}因為有可能會招引更強大的怪物。
QUEST_LV_0100_20150317_000870	我要留下來阻止企圖前往地下的魔族。
QUEST_LV_0100_20150317_000871	能夠一起戰鬥是我的榮幸，啟示者，{nl}在阿爾基斯觀察情況的這段期間，我們就來擊退這邊的魔族吧？
QUEST_LV_0100_20150317_000872	可以麻煩你將狂氣的瞳孔交給羅德林嗎？{nl}如果想要躲過魔族的雙眼，那是相當重要的一項物品。
QUEST_LV_0100_20150317_000873	我不希望那種骯髒的東西放在周圍，{nl}但更不希望繼續單槍匹馬對付魔族。
QUEST_LV_0100_20150317_000874	謝謝，{nl}我要趁魔族察覺之前分給其他弟兄才行。
QUEST_LV_0100_20150317_000875	你果然是啟示者，{nl}終於可以專心守護祭壇了。
QUEST_LV_0100_20150317_000876	第1層正門的結界已經藉由聖堂的力量抵銷了，不需要太擔心，{nl}聖堂的祭壇就是為此而準備的。{nl}
QUEST_LV_0100_20150317_000877	就先試著解決邪惡寶箱怪吧，{nl}我負責引誘邪惡寶箱怪，你則趁機發動攻擊。
QUEST_LV_0100_20150317_000878	想拜託你幫我消滅朋德爾與朋德。{nl}他們是魔族姊妹，很令人傷腦筋的一對。
QUEST_LV_0100_20150317_000879	我也差點就慘遭毒手了，最好小心一點，{nl}對方真的是非常凶暴的怪物。
QUEST_LV_0100_20150317_000880	真是辛苦了，{nl}嘰嘰嚓嚓的笑聲好像停了。
QUEST_LV_0100_20150317_000881	他們打算變身成魔族引啟動亂。{nl}請先消滅朋德爾與朋德並幫我收集他們的衣角。
QUEST_LV_0100_20150317_000882	雖然這個辦法有些不恭敬，但現在不是計較這種事情的時候。
QUEST_LV_0100_20150317_000883	表現得太好了，{nl}現在彼此應該很難相信對方了吧。{nl}
QUEST_LV_0100_20150317_000884	我想利用祭壇的力量讓魔族們改變信仰，{nl}改變信仰的魔族們會一邊吸收神聖力，然後慢慢地死去。{nl}
QUEST_LV_0100_20150317_000885	但在那之前最重要的是掌握魔族的情況，{nl}請去收集魔族的靈魂。
QUEST_LV_0100_20150317_000886	我想起第一次讓魔族改變信仰的情況呢，{nl}為了可憐的靈魂祈禱吧。
QUEST_LV_0100_20150317_000887	真是辛苦了，{nl}如果有善良的魔族，女神應該會接納他們吧。
QUEST_LV_0100_20150317_000888	抑制魔族力量的中央祭壇突然停下來了，{nl}可以請啟示者去察看一下情況嗎？
QUEST_LV_0100_20150317_000889	明明一直都有在運作啊，太奇怪了。
QUEST_LV_0100_20150317_000890	原來是埋伏，{nl}多虧有啟示者，不然真的就完蛋了。
QUEST_LV_0100_20150317_000891	想要進入隱藏聖所的話，就必須準備空間的紋章，{nl}雖然就藏在史班圖貝中央祭壇，但會不會太晚了呢？
QUEST_LV_0100_20150317_000892	泰內聖堂的許多構造都是為了對抗魔族而配置的，{nl}一個個都是小的結界，並且形成力量支撐巨大的結界。{nl}
QUEST_LV_0100_20150317_000893	最強力的結界在第2層，{nl}據說有聖具的時候會發揮最大的力量。
QUEST_LV_0100_20150317_000894	看來傑斯堤搶先一步了，{nl}應該很難偷偷接近了。
QUEST_LV_0100_20150317_000895	得變更計畫才行，{nl}最好先監視一下傑斯堤的動靜。{nl}
QUEST_LV_0100_20150317_000896	就先佔領鐘塔吧。
QUEST_LV_0100_20150317_000897	在這裡就能清楚看見傑斯堤的行動。
QUEST_LV_0100_20150317_000898	來，接下來就去史班圖貝中央祭壇取得空間的紋章吧，{nl}你應該能辦到吧？
QUEST_LV_0100_20150317_000899	你應該知道啟示藏在聖所裡吧？{nl}空間的紋章是進入隱藏聖所唯一的鑰匙。{nl}
QUEST_LV_0100_20150317_000900	不只是泰內聖堂的聖所而已，{nl}只要是女神隱藏的地方，任何地方都能進去。
QUEST_LV_0100_20150317_000901	空間的紋章只有啟示者能使用，所以他應該無法很快就找到啟示。{nl}
QUEST_LV_0100_20150317_000902	不過對方是連聖殿十字軍大師都對付不了的魔王，{nl}看來得利用破碎的祭壇的力量了。
QUEST_LV_0100_20150317_000903	祭壇被破壞是沒辦法的事情，但碎片中還存有力量，{nl}將那些碎片塞入史班圖貝中央的8個柱子吧。
QUEST_LV_0100_20150317_000904	等你完成任務後，我就可以利用聖具和聖堂的力量困住傑斯堤，{nl}雖然大概只有短暫的效果，但這是目前最好的方法。
QUEST_LV_0100_20150317_000905	已經啟動瑪爾達祭壇了吧？{nl}短時間內待在這邊應該會很安全。辛苦了。
QUEST_LV_0100_20150317_000906	魔族們正在第2層各個角落搜尋當中，{nl}啟動阿霧卡祭壇說不定就能引開魔族的注意力。
QUEST_LV_0100_20150317_000907	幸好在我身旁的人是你我覺得很安心。{nl}我真慶幸拉伊瑪選擇的人是你。
QUEST_LV_0100_20150317_000908	辛苦了，{nl}看來這次的任務結束後，必須召集所有弟兄一口氣趕走那些魔族才行。
QUEST_LV_0100_20150317_000909	如果發現傑斯堤的蹤影，我就會敲鐘通知你，千萬要小心一點。
QUEST_LV_0100_20150317_000910	原來已經找到空間的紋章了。{nl}對我旁邊的柱子使用空間的紋章，然後前往聖所吧。{nl}畢竟這是為了啟示者所準備的。
QUEST_LV_0100_20150317_000911	願你的旅程有女神的祝福同在。
