QUEST_LV_0200_20150317_000001	皮爾力巴斯直屬隊員
QUEST_LV_0200_20150317_000936	{nl}說不定還有其他人看過這紙條。{nl}某種樹根水晶好像把核心植入怪物體內的樣子。{nl}將怪物帶到這來看看柱子的反應，就可以破壞柱子。
QUEST_LV_0200_20150317_000937	你做得很好。{nl}如果以後也能這麼做就好了…{nl}
QUEST_LV_0200_20150317_000938	這是第二個祕密。{nl}很可惜地那柯堤斯魔族好像已經先行動了。{nl}
QUEST_LV_0200_20150317_000939	能夠重新找回來真是太好了。{nl}聽說是在死後才看到聖遺物的。{nl}
QUEST_LV_0200_20150317_000940	請帶著這些聖遺物去小教堂，將它們放到祭壇上，{nl}就能夠獲得梅伊班的第一把鑰匙。
QUEST_LV_0200_20150317_000941	我在這研究解開那柯堤斯詛咒的方法。{nl}為了這些被詛咒折磨的可憐的人們，你能幫我取得怪物標本嗎？
QUEST_LV_0200_20150317_000942	如果能派再多派點人去教團的話應該會好一點。{nl}對了，還要實驗看看你找到的標本。
QUEST_LV_0200_20150317_000943	唉。怎麼沒什麼反應呢？{nl}每個詛咒都會有自己的特徵在，就像有共通點的鑰匙一樣…{nl}
QUEST_LV_0200_20150317_000944	這樣下去不行。不能光靠想像，得實際做一次實驗才行。{nl}很不好意思，這次能幫我取得其他怪物的標本嗎？
QUEST_LV_0200_20150317_000945	還以為只要將焦點集中在詛咒的特性就可以了，看來結果卻相反呢。{nl}那柯堤斯… 是什麼東西讓魔族開始行動的呢？
QUEST_LV_0200_20150317_000946	啊，雖然有聽帝塔施說過，但沒想到就是在說你們。還真踏實。{nl}那就麻煩你支援掃蕩怪物的作戰了。
QUEST_LV_0200_20150317_000947	其他祭司們分別在大回廊、懺悔路和至聖所。{nl}雖然研究也很重要，還是希望他們都平安無事才好… 那就麻煩你了。{nl}{nl}如果有看到啟示者們的話，請幫我問候他們一聲。{nl}因為他們身處在比我還要危險的地方。
QUEST_LV_0200_20150317_000948	祭司 伊內亞
QUEST_LV_0200_20150317_000949	女神為什麼放任那種無禮的怪物不管呢…{nl}這也是女神的旨意嗎？
QUEST_LV_0200_20150317_000950	要取得標本還真不容易。{nl}現在連研究的時間都嚴重不足。
QUEST_LV_0200_20150317_000951	啊，這次確實有反應。{nl}要是啟示者你沒出手幫忙，我應該會徘徊好一陣子。真的很感謝你！
QUEST_LV_0200_20150317_000952	搶先那柯堤斯一步弄到手就行了。{nl}請消滅魔族並尋找救援的聖遺物。
QUEST_LV_0200_20150317_000953	證明的祭司
QUEST_LV_0200_20150317_000954	藥材都帶來了嗎？
QUEST_LV_0200_20150317_000955	請把藥材給我。
QUEST_LV_0200_20150317_000956	製藥時需要藥材。
QUEST_LV_0200_20150317_000957	藥已經完成了。
QUEST_LV_0200_20150317_000958	必須先把梅伊班的所有鑰匙弄到手。{nl}為了取得鑰匙，必須解開許多秘密。{nl}
QUEST_LV_0200_20150317_000959	很遺憾地，你必須依照梅伊班的指示親自解開秘密的答案。{nl}請先解開在梅米雷經堂講台上的第一個秘密然後找出慈悲的聖遺物。
QUEST_LV_0200_20150317_000960	台上刻的文字
QUEST_LV_0200_20150317_000961	用雙眼記住神聖的數字。{nl}燭火的光會驅散邪惡的黑暗。
QUEST_LV_0200_20150317_000962	必須好好觀察祭壇的字句。{nl}那麼，我在大回廊… 等你。
QUEST_LV_0200_20150317_000963	原來你看到了兵士公告。{nl}看來軍力非常不足的事是真的。{nl}就算如此，還是無法向身為啟示者的你求救…{nl}
QUEST_LV_0200_20150317_000964	在靈魂嶺指揮作戰的人就是朱利安。{nl}他也許會赤腳跑出來迎接你。
QUEST_LV_0200_20150317_000965	真是了不起。這次任務你的功勞最大。{nl}要不要就這樣進軍中支援呢？
QUEST_LV_0200_20150317_000966	那是能夠被摧毀的東西嗎？{nl}到底… 就連我也覺得這個實在太荒唐而不知道該說什麼。{nl}
QUEST_LV_0200_20150317_000967	但是，還是要付出破壞公物的代價。{nl}雖然對你有點抱歉，但你要幫我修一下木人了。
QUEST_LV_0200_20150317_000968	謝謝你那樣說。{nl}是啊。比起這裡，還是去支援靈魂靈魂嶺的朱利安部隊比較好吧。{nl}
QUEST_LV_0200_20150317_000969	穿過峽谷地帶的路途中，看到怪物廢話少說直接消滅就對了。
QUEST_LV_0200_20150317_000970	聽說玉光懸崖的彼蘭特的木塊的強度與彈性都很不錯。{nl}用來綁木塊的麻繩可以從赤紅潘圖槍兵身上取得。先幫我取得那麻繩吧。
QUEST_LV_0200_20150317_000971	村莊青年 多萊恩
QUEST_LV_0200_20150317_000972	請問你是柯拉佩達的尤濟夫派來的嗎？{nl}不是也沒關係。請你幫幫我們的村莊。{nl}
QUEST_LV_0200_20150317_000973	在神樹之日當天都還好好的，不知道從什麼時候開始，那些蜜蜂就變成怪物了。{nl}其他養蜂場已經變成廢墟了，好擔心我們的養蜂場會變成什麼樣子。
QUEST_LV_0200_20150317_000974	我們村莊主要以養蜂跟釀造蜂蜜酒為生。{nl}因為受到奧斯特雅女神的眷顧，所以佔地比其他村莊還要大。{nl}
QUEST_LV_0200_20150317_000975	可是，就連神樹之日當天都很正常的蜜蜂竟然也變成怪物了。{nl}奧斯特雅女神來沒多久後就消失了，祭師們就傻傻地要我們枯等…{nl}真的是無止盡的鬱悶日子。
QUEST_LV_0200_20150317_000976	你真的要幫我們嗎？{nl}其他的啟示者們都無視我們了…{nl}下面就是洛托儂養蜂場了。那就拜託你了。
QUEST_LV_0200_20150317_000977	千萬要平安無事。{nl}再怎麼說都是自己辛苦培養出來的養蜂場，就這樣被毀掉不是很空虛嗎？
QUEST_LV_0200_20150317_000978	養蜂場目前沒事。真是太好了。{nl}快想想守護養蜂場的辦法吧。
QUEST_LV_0200_20150317_000979	蜜蜂很令人頭痛沒錯，但聽說從其他森林大量湧入的怪物好像問題更嚴重呢。{nl}一定是覬覦我們家釀造的蜂蜜啊。{nl}
QUEST_LV_0200_20150317_000980	對了。那這個怎麼樣呢？{nl}用空的蜂箱來騙怪物。{nl}裡面又沒有蜂蜜，怪物怎麼會覬覦養蜂場呢？
QUEST_LV_0200_20150317_000981	那是什麼時候的事呢？應該跟蜜蜂轉變成怪物的時期很接近。{nl}從來沒看過這麼多怪物湧入我們村莊。{nl}
QUEST_LV_0200_20150317_000982	一開始都是湧進震動的耕作地及春光樹林那邊。{nl}但過沒多久，就湧向我們這邊了。{nl}一定是覬覦我們家釀造的蜂蜜啦。
QUEST_LV_0200_20150317_000983	如果是身上散發甜蜜香氣的怪物，應該會掉落空的蜂箱。{nl}我會向奧斯特雅女神祈禱，請她幫助你的。
QUEST_LV_0200_20150317_000984	你帶回來了！{nl}如果能用這個騙倒他們的話就好了。
QUEST_LV_0200_20150317_000985	話說回來，我很擔心釀造廠的都勒傑大叔。{nl}釀造廠被怪物毀掉，現在正處於一觸即發的戰爭前夕呢。{nl}
QUEST_LV_0200_20150317_000986	他好像正在計畫要燒掉這整片森林…{nl}根本就聽不進去我說的話。你可以幫我阻止大叔嗎？
QUEST_LV_0200_20150317_000987	米可羅斯釀造場那邊會有很多油桶。必須先把那些清掉。{nl}然後才是都勒傑大叔… 那就拜託你了。
QUEST_LV_0200_20150317_000988	釀造業者 都勒傑
QUEST_LV_0200_20150317_000989	啟示者來找我所為何事？{nl}
QUEST_LV_0200_20150317_000990	嗯？這不是我的軟木塞嗎？{nl}你打算毀了我的計畫嗎？{nl}
QUEST_LV_0200_20150317_000991	休想阻止我。{nl}就算我的作業場會一起被燒毀，我也想要抓住薩克利然後殺了他。{nl}管你是啟示者還是什麼的，現在我誰都不信。
QUEST_LV_0200_20150317_000992	養蜂、釀酒因為那些怪物一切都毀了。{nl}所以尤濟夫才去柯拉佩達尋找可以幫助我們的啟示者。{nl}{NP}正想說有人幫忙也許事情會順利一些…怎麼會？{nl}不知不覺一個兩個就這樣消失了。一定是趁機落跑，一群膽小鬼。
QUEST_LV_0200_20150317_000993	冷靜？你要我現在怎麼冷靜？{nl}好吧。你去蜂蜜酒倉庫把我的頂級之作帶給我的話也許就能冷靜。{nl}前提是如果你拿得出來的話。
QUEST_LV_0200_20150317_000994	不知道你是否能成功拿出來。{nl}如果失敗就只能燒掉我的作業場了，知道了嗎？
QUEST_LV_0200_20150317_000995	天吶，你竟然真的帶過來了？{nl}還以為你會因為怪物的關係而放棄… 真的很厲害。
QUEST_LV_0200_20150317_000996	很好。我輸了。依照約定我不燒作業場了。{nl}但是，還是無法洩我心頭之恨。我辛苦了多年的結晶就這樣因為怪物們…{nl}
QUEST_LV_0200_20150317_000997	真是感謝你。{nl}至少你有幫我帶回這瓶酒，應該能稍微讓我消點氣。
QUEST_LV_0200_20150317_000998	現在我不會再想著要燒掉森林了。{nl}如果是像你這樣的實力派，一定可以拯救我們的村莊。
QUEST_LV_0200_20150317_000999	這樣就夠了。尤濟夫派了很了不起的人來呢。{nl}總之，因為怪物的關係，不止是養蜂場，就連釀造業都毀了。{nl}
QUEST_LV_0200_20150317_001000	你比其他啟示者看起來可靠多了。{nl}麻煩你到上方的三溪林去找瑪拉斯可以嗎？
QUEST_LV_0200_20150317_001001	奇利納
QUEST_LV_0200_20150317_001002	因為擔心多萊恩才一起跟過來的，但這該怎麼辦才好？{nl}因為怪物比想像得還要多，很擔心回去的路啊。
QUEST_LV_0200_20150317_001003	這個地方的怪物們好像全都被什麼東西迷住有點可怕。{nl}也對，我們村莊的蜂蜜是蠻甜的。
QUEST_LV_0200_20150317_001004	謝謝。到底是怎麼跑到這裡來的，真是…{nl}天吶。讓我們心懷感激的蜜蜂們竟然變成怪物了，不覺得很可笑嗎？
QUEST_LV_0200_20150317_001005	克爾雷歐巴斯
QUEST_LV_0200_20150317_001006	如今我也忍無可忍了。你知道米可羅斯嗎？{nl}你怎麼可能知道。他是我非常喜歡的哥哥。{nl}
QUEST_LV_0200_20150317_001007	那位哥哥不久前突然對我發脾氣，現在根本不想見到我。{nl}我必須知道是什麼事，才能決定該不該道歉啊。
QUEST_LV_0200_20150317_001008	喔，你真的幫了一個大忙。{nl}米可羅斯哥哥怎麼會對第一次見面的人生氣呢？
QUEST_LV_0200_20150317_001009	哥哥到底為什麼生氣？{nl}你覺得是為什麼呢？
QUEST_LV_0200_20150317_001010	米可羅斯
QUEST_LV_0200_20150317_001011	克爾雷歐巴斯這傢伙… 居然使喚其他人，真厚臉皮。{nl}跟我借釀酒用具結果賣到某個地方，事後卻說自己不知情？{nl}
QUEST_LV_0200_20150317_001012	我對他多好，他怎麼能這樣對我？{nl}而且還騙我說把東西放在我的作業場裡，那東西我可從沒收到過。
QUEST_LV_0200_20150317_001013	你還沒見到米可羅斯哥哥嗎？
QUEST_LV_0200_20150317_001014	我的天啊。怎麼能這樣對我？{nl}米可羅斯真是…
QUEST_LV_0200_20150317_001015	你說什麼？怎麼可能。{nl}我真的放在哥哥的作業場了。{nl}
QUEST_LV_0200_20150317_001016	啊，也許… 是菁英喬帕露卡幹的好事。{nl}我看過他亂舔釀酒用具。{nl}我能再拜託你一件事嗎？嗯？
QUEST_LV_0200_20150317_001017	真的很謝謝你！{nl}我在德貝庫奇休憩地看到菁英喬帕露卡。{nl}如果你找到釀酒用具，請幫忙交給米可羅斯哥哥。
QUEST_LV_0200_20150317_001018	一定要是菁英喬帕露卡拿走的才行。{nl}要不然… 我不願意想像哥哥失望的神情。
QUEST_LV_0200_20150317_001019	哎呀那不是我的釀酒用具嗎？{nl}是在哪裡找到的啊？
QUEST_LV_0200_20150317_001020	怎麼可能。我真的給你添了很多麻煩。{nl還有我的克爾雷歐巴斯… 我真的抬不起頭了。{nl}
QUEST_LV_0200_20150317_001021	我有事想拜託你。{nl}你能幫忙取得一點蜂王漿並交給克爾雷歐巴斯嗎？{nl}他真的很愛吃蜂王漿。
QUEST_LV_0200_20150317_001022	我們嗎？{nl}他跟我是在同個村裡長大的唯一好友。{nl}
QUEST_LV_0200_20150317_001023	為什麼這麼問？
QUEST_LV_0200_20150317_001024	啊啊，真的很謝謝你。{nl}蜂王漿可向周圍的怪物輕鬆取得，應該不難。
QUEST_LV_0200_20150317_001025	要不是你，我們的關係可能永遠都無法挽回了。
QUEST_LV_0200_20150317_001026	嗯？這不是蜂王漿嗎？{nl}米可羅斯哥哥… 真是太好了。多虧有你，這場誤會才能解開。{nl}這也是緣分，希望奧斯特雅女神的祝福與你同在。
QUEST_LV_0200_20150317_001027	瑪拉斯
QUEST_LV_0200_20150317_001028	尤濟夫找的人就是你嗎？{nl}就算不是也無妨。{nl}要是連你都不幫忙我們的話，就跟那些逃走的啟示者沒兩樣了。{nl}
QUEST_LV_0200_20150317_001029	總之，本來一心只相信著祭師們，但真的再也忍不下去了。{nl}所以想要僱用像你這樣擁有非凡實力的啟示著，你意下如何？{nl}我會給你豐厚的謝禮的。
QUEST_LV_0200_20150317_001030	不論是誰看了都知道是為了蜂蜜而來，祭司們到底都在哪裡做什麼啊？真是的。
QUEST_LV_0200_20150317_001031	雖然有向柯拉佩達提出請求，但因為人力不足根本無法行動。{nl}即使如此，最近這種時局要雇用傭兵也不容易呢。{nl}
QUEST_LV_0200_20150317_001032	所以就只剩下啟示者們了。{nl}聽說你在找女神？我們村裡也有女神呢。
QUEST_LV_0200_20150317_001033	好好查看還沒壞的蜂箱。{nl}說不定能找到狀態還不錯的蜂箱碎片。
QUEST_LV_0200_20150317_001034	哇，這個就夠大了。{nl}辛苦啦。
QUEST_LV_0200_20150317_001035	你現在去布比尼農場看一下。{nl}只要給他們看怪物就是因為蜂蜜才這樣的證據，祭司們就不會只花心思在祭壇上了。{nl}
QUEST_LV_0200_20150317_001036	這附近有很多祭壇。{nl}你也知道嗎？都是為了奧斯特雅女神而設的。{nl}
QUEST_LV_0200_20150317_001037	祭司們只關心祭壇，根本不會知道我們是餓死了還是發生什麼事。{nl}好像以為只要不分晝夜的對著祭壇祈願就能解決問題。{nl}所以我們實在是忍無可忍才站出來的。
QUEST_LV_0200_20150317_001038	這點大小的蜂窩根本無法吸引怪物。
QUEST_LV_0200_20150317_001039	怎麼樣？有什麼反應嗎？
QUEST_LV_0200_20150317_001040	你說沒反應？{nl}這真是… 看來牠們不是只為了蜂蜜而來。{nl}
QUEST_LV_0200_20150317_001041	比奇吳祭壇已經擠滿了怪物，我還以為去那裡能收集到蜂蜜呢。{nl}萬一不是為了蜂蜜而來，說不定有甚麼重要的原因。
QUEST_LV_0200_20150317_001042	沿著這條路往下走就會看到比奇烏祭壇了。{nl}如果有什麼奇怪的東西就帶回來給我。
QUEST_LV_0200_20150317_001043	比預計的還要快回來啊。{nl}如何？確認過了嗎？
QUEST_LV_0200_20150317_001044	你說怪物們覬覦著這碎片？{nl}我也是第一次看到… 位在上方的卡物德奇祭壇也得去確認一下了。
QUEST_LV_0200_20150317_001045	要是像剛剛那樣又出現甚麼奇怪的物體的話，請趕快轉告樹木監視塔附近的拉馬勒。{nl}我真的…不知道了。
QUEST_LV_0200_20150317_001046	拉馬勒
QUEST_LV_0200_20150317_001047	你說瑪拉斯叫你給他看這個？{nl}祭司大人千叮嚀萬交代說絕對不能動這個的，它本來就碎成這樣嗎？
QUEST_LV_0200_20150317_001048	我要去聽聽看瑪拉斯怎麼說。{nl}感覺不太妙… 這到底是用來做什麼的？
QUEST_LV_0200_20150317_001049	利斯
QUEST_LV_0200_20150317_001050	雖然怪物破壞了田地，但我還是想將田地重建。{nl}啊我想想，只不過遇到鬼眼蜘蛛而已竟然就這樣跑回來。{nl}還有我的農具… 現在覺得很茫然不知道該怎麼辦。
QUEST_LV_0200_20150317_001051	真的很感謝你。{nl}失去的地方就是榭魯榭艾向陽地。{nl}鬼眼蜘蛛是非常巨大又可怕的怪物，請不要勉強自己去硬戰。
QUEST_LV_0200_20150317_001052	啊！ 沒錯。就是這個。{nl}現在只要村莊大叔幫我們解決怪物的話就沒問題了吧？
QUEST_LV_0200_20150317_001053	巴爾達
QUEST_LV_0200_20150317_001054	瑪拉斯大叔叫我們把所有蜂箱碎片都收集回來，不管怎麼想都覺得真是強人所難。{nl}如果我們做得到的話，早就能夠消滅怪物了！{nl}
QUEST_LV_0200_20150317_001055	算我拜託你！{nl}就當作是救人一命，不能幫我收集蜂箱碎片嗎？
QUEST_LV_0200_20150317_001056	真的可以嗎？不知道為什麼覺得好感動。{nl}對了，位置就在薩爾圖斯養蜂場。{nl}
QUEST_LV_0200_20150317_001057	如果這次連明年要吃的蜂蜜也全沒了的話就真的沒辦法了。{nl}說不定像利斯一樣只擔心不見的農具還比較好。
QUEST_LV_0200_20150317_001058	嗚哇。這甜蜜的香氣。{nl}真的很謝謝你。{nl}對了，請對瑪拉斯大叔保密。
QUEST_LV_0200_20150317_001059	就算是怪物來搗蛋，也不能荒廢農業啊。{nl}不過怪物真的很可怕呢。這麼簡單的事情也不能幫我嗎？
QUEST_LV_0200_20150317_001060	真的嗎？謝謝！{nl}你只要把這個種子播種在拉丹扎農園就可以了。那就拜託你囉！
QUEST_LV_0200_20150317_001061	只要播種，它就會自己成長。{nl}當然，需要避開怪物耳目偶爾栽培一下。
QUEST_LV_0200_20150317_001062	有了這個後就比較安心了。{nl}接下來只要瑪拉斯大叔和拉馬勒大叔解決掉怪物就可以了。
QUEST_LV_0200_20150317_001063	祭司 利耶爾利耶
QUEST_LV_0200_20150317_001064	奧斯特雅女神正在封印兩處邪惡氣息的源泉。{nl}不過由於魔族們的持續侵犯，封印的力量正在變弱。
QUEST_LV_0200_20150317_001065	因為那個緣故，才暫時利用魔石引誘魔族… {nl}村民急躁的行動終究招致災禍了。{nl}
QUEST_LV_0200_20150317_001066	你也無法說自己不需要負任何責任吧。
QUEST_LV_0200_20150317_001067	雖然不知道是不是因為神樹之日的關係，但不知道從什麼時候開始，這片土地的深處就開始凝聚邪惡氣息了。{nl}這邪惡氣息不斷湧現，就這樣到了戰爭前夕。{nl}
QUEST_LV_0200_20150317_001068	因此，奧斯特雅女神用盡全力在封印那個氣息。{nl}如果不這樣做的話，這片森林就會變得跟荊棘林一樣。{nl}
QUEST_LV_0200_20150317_001069	最後只剩怪物倖存… 就是這樣荒廢的土地。{nl}
QUEST_LV_0200_20150317_001070	雖然我想先簡短跟你說明一下情況，但怪物很快就會往這裡聚集過來。{nl}為了應對這種時刻，我已經在村莊入口準備了守護石。
QUEST_LV_0200_20150317_001071	聽你這麼說我就放心了。{nl}如果無法阻止怪物的攻擊，整座夏奧雷伊森林說不定會被摧毀，拜託你了。{nl}
QUEST_LV_0200_20150317_001072	等我回來再跟你詳細說明。{nl}快去解決怪物吧。
QUEST_LV_0200_20150317_001073	現在終於能安心了啊！{nl}抱歉沒跟你打到招呼。我是侍奉奧斯特雅女神的祭司利耶爾利耶。
QUEST_LV_0200_20150317_001074	你是說剛剛為你做的淨化嗎？{nl}就跟其他啟示者一樣，是為了讓你不被黑暗之氣所迷惑，是以女神之名來為你做的淨化。{nl}
QUEST_LV_0200_20150317_001075	村民們還不知道女神已經下了加持庇護。{nl}因為女神不想再看到混亂事件發生。{nl}
QUEST_LV_0200_20150317_001076	好險她有感受到自己的責任感。{nl}
QUEST_LV_0200_20150317_001077	有要先淨化魔族後再獲得的東西。{nl}請去村莊附近把蘊含女神力量的蜂樹樹枝帶回來給我。
QUEST_LV_0200_20150317_001078	在怪物們再次湧入之前必須趕快了結這件事。
QUEST_LV_0200_20150317_001079	已經帶回來了呀。很好。{nl}
QUEST_LV_0200_20150317_001080	剛剛已經跟你說了，邪惡氣息的源泉有兩個地方。{nl}在這之中，必須先做出能夠復原這裡的封印的晶球。
QUEST_LV_0200_20150317_001081	請先去收集製作晶球的材料－魔族的灰。{nl}請用找回來的蜂樹樹枝刺入魔族，無法贏過神聖之力的魔族就會化成灰。{nl}
QUEST_LV_0200_20150317_001082	但是，不論何處都有間接蘊含女神力量的東西。{nl}因此，要將魔族的體力消耗到某種程度後再使用會比較有效。
QUEST_LV_0200_20150317_001083	你做得很好。{nl}雖然不是很想要將魔族當作財物獻上… 現在是最後的完成階段。
QUEST_LV_0200_20150317_001084	請收下這個晶球。因為製作得太緊急，所以還不完整。{nl}因此，必須到充滿女神氣息的地方填滿神聖的魔力才行。
QUEST_LV_0200_20150317_001085	請去最近的帕拉瑪絕壁。{nl}魔族就快要衝過來了，請加快腳步。沒有時間了請快一點。
QUEST_LV_0200_20150317_001086	這樣應該就夠了。{nl}請盡快做復原封印的準備。說不定會是場大戰。
QUEST_LV_0200_20150317_001087	雖然變弱的封印塔就在史特拉街道那邊。{nl}魔族們到現在還悄無聲息讓人有點在意。{nl}
QUEST_LV_0200_20150317_001088	請加快腳步。感受到封印變弱了許多。{nl}希望女神的庇護…
QUEST_LV_0200_20150317_001089	淨化封印塔的啟示者就是你嗎？
QUEST_LV_0200_20150317_001090	我一直在這裡壓制著魔氣。
QUEST_LV_0200_20150317_001091	請去春光樹林復原封印塔。
QUEST_LV_0200_20150317_001092	在魔氣冒出來後，產生了異常巨大的變異植物。{nl}因為看起來很危險所以只在遠處觀察了一下，發現它身上不斷散發出不祥之氣。{nl}很擔心那個變異植物會不會傷害到居民們。
QUEST_LV_0200_20150317_001093	如果你可以幫我們的話真的會非常感激你。{nl}但是，不知道會有什麼危險，請千萬要小心。
QUEST_LV_0200_20150317_001094	果然是因為流露出的魔氣才會變得這麼嚇人嗎？
QUEST_LV_0200_20150317_001095	怎麼可能… 原來怪物都躲起來了。{nl}不過你都將怪物給消滅了真是太好啦。
QUEST_LV_0200_20150317_001096	貪心鬼 德魯巴
QUEST_LV_0200_20150317_001097	這個也要對村民們保密。{nl}我去遙遠的佩迪米安買來了昂貴的符咒。{nl}難說喔，不知道能不能把怪物趕到遠方呢？{nl}
QUEST_LV_0200_20150317_001098	所以說啊，{nl}你去做一個貼有符咒的稻草人吧。嘿嘿。
QUEST_LV_0200_20150317_001099	你真是個很聊得來的朋友耶。{nl}如果要做稻草人的話必須先收集材料才行。{nl}你先去村莊附近收集橡樹根莖吧。
QUEST_LV_0200_20150317_001100	只要這次順利的話，我就能賺大錢了。嘿嘿…
QUEST_LV_0200_20150317_001101	收集很多了嘛！{nl}數量差不多這樣就夠了！
QUEST_LV_0200_20150317_001102	來，把貼上符咒的稻草人立在我的田裡吧。{nl}像最近這種時代，這種樂趣我只留給自己。
QUEST_LV_0200_20150317_001103	田就在亞魯葛雷十字路口的左邊。{nl}雖然有點遠，但不這樣的話就很難躲避村民們的耳目。
QUEST_LV_0200_20150317_001104	完蛋的養蜂專家 羅森
QUEST_LV_0200_20150317_001105	全毀了。我說全毀了。{nl}辛苦培養了數千年的珍貴蜂箱，就這樣被怪物給毀掉了。{nl}雖然祭司要我再稍微忍一下…
QUEST_LV_0200_20150317_001106	你是在安慰我嗎？{nl}沒有什麼能比狠狠修理那些怪物一頓更能安慰我的了。
QUEST_LV_0200_20150317_001107	雖說祭司的話一定是對的，但總要稍微讓我出點氣吧？
QUEST_LV_0200_20150317_001108	心裡舒暢多了。{nl}雖然希望他們就這樣永遠消失掉更好。
QUEST_LV_0200_20150317_001109	祭司 多支奈
QUEST_LV_0200_20150317_001110	啟示者。已經聽到奧斯特雅女神說的了吧。{nl}眼下必須先復原封印，那些被邪惡氣息蠱惑而變得兇殘的啟示者們很快就會攻過來了。{nl}
QUEST_LV_0200_20150317_001111	但是，也不是沒有解決辦法。{nl}只要能夠找回女神的象徵，就一定可以進行淨化。
QUEST_LV_0200_20150317_001112	請先從怪物身上找回女神的象徵，然後在奧斯特雅祭壇上復原封印。{nl}下一步才是淨化啟示者們。
QUEST_LV_0200_20150317_001113	不論是要復原變弱的封印，還是要治療被蠱惑的啟示者們，{nl}全都要有那個象徵才能解決。
QUEST_LV_0200_20150317_001114	毀損程度比震動的耕作地的封印還嚴重呢。{nl}邪惡的氣息更強烈了。{nl}
QUEST_LV_0200_20150317_001115	好險在女神盡心在封印之前，已經先賦予村民們神聖的庇護…{nl}就只有不知道這些的無辜啟示者們遭受到變異攻擊。
QUEST_LV_0200_20150317_001116	就是這個，啟示者。{nl}用這個就可以救出被蠱惑的啟示者們。
QUEST_LV_0200_20150317_001117	被蠱惑的啟示者們很快就會衝過來了。{nl}在出現犧牲者之前，就麻煩你淨化被蠱惑的啟示者們了。
QUEST_LV_0200_20150317_001118	好險沒有造成太多傷亡。{nl}現在只要復原變弱的封印，就不會再重覆發生這些事了。
QUEST_LV_0200_20150317_001119	請用奧斯特雅女神的象徵來復原變弱的封印塔。{nl}這是郎基斯封印和郎卡封印。
QUEST_LV_0200_20150317_001120	當時察覺到邪惡氣息源泉徵兆的魔族們，為了破壞封印不斷發動攻擊。{nl}這次如果能做出結實的封印，短時間內他們就會斷了這個念頭。{nl}
QUEST_LV_0200_20150317_001121	但在這之後，說不定還會發生更嚴重的事。{nl}在這之前，就只能相信奧斯特雅女神會幫我們解決了。
QUEST_LV_0200_20150317_001122	還有一件令我擔心的事…{nl}已經被破壞過一次的象徵，可能沒有被封印得很完整。{nl}一切都會按照女神的旨意…進行吧。{nl}
QUEST_LV_0200_20150317_001123	商人 圖凱
QUEST_LV_0200_20150317_001124	唉唷威呀，這該怎麼辦才好啊？{nl}被怪物追殺到連本金都全丟了到底算什麼啊？{nl}但是，隨便站出來的話又很怕會跟其他啟示者一樣瘋掉。
QUEST_LV_0200_20150317_001125	一開始根本分不出來到底是人類還是怪物。{nl}因為他失神發呆，我就試著叫他一聲。他發出奇怪的聲音後就消失了。{nl}
QUEST_LV_0200_20150317_001126	這種人不止有一兩位。{nl}但我們村民們都還好好的… 是因為女神有庇護他們嗎？
QUEST_LV_0200_20150317_001127	那就麻煩你了。{nl}用盡全部家產起頭的事業就這樣被毀了。
QUEST_LV_0200_20150317_001128	該如何表達我的感謝… 全部都是我的東西沒錯。{nl}本來還想說你跟其他啟示者們不一樣頭腦反而很清楚，我還覺得很奇怪，原來是位特別的人物啊。
QUEST_LV_0200_20150317_001129	住民 艾密
QUEST_LV_0200_20150317_001130	本來有很多事需要往返於下面的村落，但因為祭司說封印很危險要我們乖乖待著別亂跑。{nl}那個封印能有多危險，我還是好好的啊，但魔族真的好可怕。
QUEST_LV_0200_20150317_001131	為了維生必須這麼做。{nl}雖然這裡的村民眼中只有女神和啟示者們…
QUEST_LV_0200_20150317_001132	其他的啟示者們都已經失魂落魄了，你還真是另類呢。你已經見過女神了嗎？{nl}總之，真是了不起。要是我也能跟你一樣強就好了。
QUEST_LV_0200_20150317_001133	藥師 提阿納
QUEST_LV_0200_20150317_001134	多支奈祭師認為往後必須要治療被蠱惑的啟示者們，所以拜託我製作藥物。{nl}但是，春光草都沒了… 魔族們真的好可怕。
QUEST_LV_0200_20150317_001135	真是一位古道熱腸的人。{nl}對了，春光草可不是這麼好找的。{nl}只會對這蜜蜂漿起反應之後才會現身。
QUEST_LV_0200_20150317_001136	多虧有你我才能存活下來。{nl}這些讓祭司盡情使用後可能還有剩呢。
QUEST_LV_0200_20150317_001137	教堂燭台
QUEST_LV_0200_20150317_001138	教堂燭台的火熄滅了。
QUEST_LV_0200_20150317_001139	在那棵樹破壞首都的時候，命運的輪盤悄悄開始轉向滅亡一途。{nl}拉伊瑪說只有被選上的人類才能夠剪斷那條線。
QUEST_LV_0200_20150317_001140	前方圍繞著強大的魔族的氣息。
QUEST_LV_0200_20150317_001141	現在門被封印了進不去。{nl}經過堤其艾蒂祭壇前廳進入一個房間就會看到結界燭台。{nl}熄滅結界燭台就能打開被封印的門。
QUEST_LV_0200_20150317_001142	通往主教躲藏的房間的傳點已經開啟了。{nl}直接利用傳點進去就可以了。
QUEST_LV_0200_20150317_001143	教團下達了將聖物帶往安全地方的命令。{nl}但是，請看看這個景象。{nl}有多慘烈？
QUEST_LV_0200_20150317_001144	這個是含有偉大主教們語錄的聖物，但怎麼會這樣…{nl}聖物就這樣散落在那群無禮的怪物之間，我只感到非常悲憤。
